id,Repository,Address,Description,Stars,Language,Updated,other
132,chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,专门为刚开始刷题的同学准备的算法基地，没有最细只有更细，立志用动画将晦涩难懂的算法说的通俗易懂！,9.2k,Java,10/15,
133,AlloyTeam/Mars,https://github.com/AlloyTeam/Mars,腾讯移动 Web 前端知识库,9.2k,-,09/03,
134,nusr/hacker-laws-zh,https://github.com/nusr/hacker-laws-zh,💻📖对开发人员有用的定律、理论、原则和模式。(Laws、Theories、Principles and Patterns that developers will find useful.,9.2k,-,06/19,
135,XIU2/TrackersListCollection,https://github.com/XIU2/TrackersListCollection,🎈 Updated daily! A list of popular BitTorrent Trackers! / 每天更新！全网热门 BT Tracker 列表！,9.2k,-,11/01,
136,rootsongjc/kubernetes-handbook,https://github.com/rootsongjc/kubernetes-handbook,Kubernetes中文指南/云原生应用架构实践手册 -  https://jimmysong.io/kubernetes-handbook,9.1k,Shell,10/30,
137,darknessomi/musicbox,https://github.com/darknessomi/musicbox,网易云音乐命令行版本,9.1k,Python,09/21,
138,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,:seedling::rocket:一个基于Spring Boot & MyBatis的种子项目，用于快速构建中小型API、RESTful API项目~,8.9k,Java,07/21,
139,macrozheng/mall-admin-web,https://github.com/macrozheng/mall-admin-web,mall-admin-web是一个电商后台管理系统的前端项目，基于Vue+Element实现。 主要包括商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等功能。,8.9k,Vue,08/09,
140,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,A powerful、customizable and extensible ViewPager indicator framework. As the best alternative of ViewPagerIndicator、TabLayout and PagerSlidingTabStrip   ——   强大、可定制、易扩展的 ViewPager 指示器框架。是ViewPagerIndicator、TabLayout、PagerSlidingTabStrip的最佳替代品。支持角标、更支持在非ViewPager场景下使用（使用hide()、show()切换Fragment或使用se ...,8.9k,Java,06/20,
141,OI-wiki/OI-wiki,https://github.com/OI-wiki/OI-wiki,:star2: Wiki of OI / ICPC for everyone. （某大型游戏线上攻略，内含炫酷算术魔法）,8.9k,-,10/31,
142,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,27天成为Java大神,8.9k,Java,05/20,
143,ChenYilong/iOSInterviewQuestions,https://github.com/ChenYilong/iOSInterviewQuestions,iOS interview questions;iOS面试题集锦（附答案）--学习qq群或 Telegram 群交流 https://github.com/ChenYilong/iOSBlog/issues/21,8.9k,C++,09/03,
144,programthink/zhao,https://github.com/programthink/zhao,【编程随想】整理的《太子党关系网络》，专门揭露赵国的权贵,8.8k,Python,08/01,
145,geektutu/7days-golang,https://github.com/geektutu/7days-golang,7 days golang programs from scratch (web framework Gee、distributed cache GeeCache、object relational mapping ORM framework GeeORM、rpc framework GeeRPC etc)  7天用Go动手写/从零实现系列,8.8k,Go,08/26,
146,fangzesheng/free-api,https://github.com/fangzesheng/free-api,收集免费的接口服务、做一个api的搬运工,8.7k,-,10/08,
147,flutterchina/flutter-in-action,https://github.com/flutterchina/flutter-in-action,《Flutter实战》电子书,8.7k,JavaScript,10/07,
148,XiangLinPro/IT_book,https://github.com/XiangLinPro/IT_book,本项目收藏这些年来看过或者听过的一些不错的常用的上千本书籍，没准你想找的书就在这里呢，包含了互联网行业大多数书籍和面试经验题目等等。有人工智能系列（常用深度学习框架TensorFlow、pytorch、keras。NLP、机器学习、深度学习等等）、大数据系列(Spark、Hadoop、Scala、kafka等)、程序员必修系列（C、C++、java、数据结构、linux、设计模式、数据库等等）,8.6k,-,10/23,
149,didi/chameleon,https://github.com/didi/chameleon,🦎 一套代码运行多端，一端所见即多端所见,8.6k,JavaScript,10/07,
150,sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,微信助手：1.每日定时给好友（女友）发送定制消息。2.机器人自动回复好友。3.群助手功能（例如：查询垃圾分类、天气、日历、电影实时票房、快递物流、PM2.5等）,8.6k,Python,06/22,
151,paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,spring cloud + vue + oAuth2.0全家桶实战，前后端分离模拟商城，完整的购物流程、后端运营平台，可以实现快速搭建企业级微服务项目。支持微信登录等三方登录。,9.2k,Java,04/23,
152,iamshuaidi/CS-Book,https://github.com/iamshuaidi/CS-Book,计算机类常用电子书整理，并且附带下载链接，包括Java，Python，Linux，Go，C，C++，数据结构与算法，人工智能，计算机基础，面试，设计模式，数据库，前端等书籍,9.1k,-,08/10,
153,Tencent/secguide,https://github.com/Tencent/secguide,面向开发人员梳理的代码安全指南,9.0k,-,10/06,
154,ruanyf/document-style-guide,https://github.com/ruanyf/document-style-guide,中文技术文档的写作规范,8.9k,-,09/13,
155,mzlogin/awesome-adb,https://github.com/mzlogin/awesome-adb,ADB Usage Complete / ADB 用法大全,8.5k,-,07/23,
156,GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,安卓学习笔记,8.4k,Java,05/25,
157,baidu/amis,https://github.com/baidu/amis,前端低代码框架，通过 JSON 配置就能生成各种页面。,8.4k,TypeScript,10/31,
158,Dod-o/Statistical-Learning-Method_Code,https://github.com/Dod-o/Statistical-Learning-Method_Code,手写实现李航《统计学习方法》书中全部算法,8.3k,Python,09/13,
159,polaris1119/The-Golang-Standard-Library-by-Example,https://github.com/polaris1119/The-Golang-Standard-Library-by-Example,Golang标准库。对于程序员而言，标准库与语言本身同样重要，它好比一个百宝箱，能为各种常见的任务提供完美的解决方案。以示例驱动的方式讲解Golang的标准库。,8.2k,Go,10/19,
160,sentsin/layer,https://github.com/sentsin/layer,丰富多样的 Web 弹出层组件，可轻松实现 Alert/Confirm/Prompt/ 普通提示/页面区块/iframe/tips等等几乎所有的弹出交互。目前已成为最多人使用的弹层解决方案,8.2k,JavaScript,05/22,
161,wistbean/learn_python3_spider,https://github.com/wistbean/learn_python3_spider,python爬虫教程系列、从0到1学习python爬虫，包括浏览器抓包，手机APP抓包，如 fiddler、mitmproxy，各种爬虫涉及的模块的使用，如：requests、beautifulSoup、selenium、appium、scrapy等，以及IP代理，验证码识别，Mysql，MongoDB数据库的python使用，多线程多进程爬虫的使用，css 爬虫加密逆向破解，JS爬虫逆向，分布式爬虫，爬虫项目实战实例等,8.1k,Python,10/21,
162,zh-google-styleguide/zh-google-styleguide,https://github.com/zh-google-styleguide/zh-google-styleguide,Google 开源项目风格指南 (中文版,8.1k,Makefile,10/19,
163,hq450/fancyss_history_package,https://github.com/hq450/fancyss_history_package,科学上网插件的离线安装包储存在这里,8.1k,-,05/25,
164,jindongwang/transferlearning,https://github.com/jindongwang/transferlearning,Transfer learning / domain adaptation / domain generalization / multi-task learning etc. papers、codes. datasets、applications、tutorials.-迁移学习,8.1k,Python,10/27,
165,DayBreak-u/chineseocr_lite,https://github.com/DayBreak-u/chineseocr_lite,超轻量级中文ocr，支持竖排文字识别、支持ncnn、mnn、tnn推理 ( dbnet(1.8M) + crnn(2.5M) + anglenet(378KB)) 总模型仅4.7M ,8.1k,C++,10/28,
166,guyueyingmu/avbook,https://github.com/guyueyingmu/avbook,AV 电影管理系统， avmoo、javbus、javlibrary 爬虫、线上 AV 影片图书馆、AV 磁力链接数据库、Japanese Adult Video Library、Adult Video Magnet Links - Japanese Adult Video Database,8.1k,PHP,10/06,
167,newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,🔥 🎉newbee-mall 项目（新蜂商城）是一套电商系统，包括 newbee-mall 商城系统及 newbee-mall-admin 商城后台管理系统，基于 Spring Boot 2.X 及相关技术栈开发。 前台商城系统包含首页门户、商品分类、新品上线、首页轮播、商品推荐、商品搜索、商品展示、购物车、订单结算、订单流程、个人订单管理、会员中心、帮助中心等模块。 后台管理系统包含数据面板、轮播图管理、商品管理、订单管理、会员管理、分类管理、设置等模块。,8.1k,Java,10/22,
168,crossoverJie/cim,https://github.com/crossoverJie/cim,📲cim(cross IM) 适用于开发者的分布式即时通讯系统,8.0k,Java,10/12,
169,unknwon/go-fundamental-programming,https://github.com/unknwon/go-fundamental-programming,《Go 编程基础》是一套针对 Google 出品的 Go 语言的视频语音教程，主要面向新手级别的学习者。,8.0k,Go,10/25,
170,tgbot-collection/YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,🎬 人人影视bot，完全对接人人影视全部无删减资源,7.9k,Python,10/31,
171,huanghaibin-dev/CalendarView,https://github.com/huanghaibin-dev/CalendarView,Android上一个优雅、万能自定义UI、仿iOS、支持垂直、水平方向切换、支持周视图、自定义周起始、性能高效的日历控件，支持热插拔实现的UI定制！支持标记、自定义颜色、农历、自定义月视图各种显示模式等。Canvas绘制，速度快、占用内存低，你真的想不到日历居然还可以如此优雅！An elegant、highly customized and high-performance Calendar Widget on Android.,7.9k,Java,10/11,
172,fuck-xuexiqiangguo/Fuck-XueXiQiangGuo,https://github.com/fuck-xuexiqiangguo/Fuck-XueXiQiangGuo,学习强国 懒人刷分工具 自动学习,7.9k,-,07/12,
173,evil-huawei/evil-huawei,https://github.com/evil-huawei/evil-huawei,Evil Huawei - 华为作过的恶,7.8k,JavaScript,07/02,
174,judasn/Linux-Tutorial,https://github.com/judasn/Linux-Tutorial,《Java 程序员眼中的 Linux》,7.7k,Shell,07/05,
175,banchichen/TZImagePickerController,https://github.com/banchichen/TZImagePickerController,一个支持多选、选原图和视频的图片选择器，同时有预览、裁剪功能，支持iOS6+。  A clone of UIImagePickerController、support picking multiple photos、original photo、video、also allow preview photo and video、support iOS6+,7.7k,Objective-C,10/14,
176,thinkgem/jeesite,https://github.com/thinkgem/jeesite,JeeSite 是一个企业信息化开发基础平台，Java企业应用开源框架，Java EE（J2EE）快速开发框架，使用经典技术组合（Spring、Spring MVC、Apache Shiro、MyBatis、Bootstrap UI），包括核心模块如：组织机构、角色用户、权限授权、数据权限、内容管理、工作流等。,7.7k,JavaScript,04/28,
177,doocs/jvm,https://github.com/doocs/jvm,🤗 JVM 底层原理最全知识总结,7.5k,Java,10/21,
178,timqian/chinese-independent-blogs,https://github.com/timqian/chinese-independent-blogs,中文独立博客列表,7.5k,JavaScript,11/01,
179,mamoe/mirai,https://github.com/mamoe/mirai,高效率 QQ 机器人支持库,7.7k,Kotlin,10/31,
180,hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,hsweb (haʊs wɛb) 是一个基于spring-boot 2.x开发、首个使用全响应式编程的企业级后台管理系统基础项目。,7.7k,Java,10/28,
181,top-think/think,https://github.com/top-think/think,ThinkPHP Framework ——十年匠心的高性能PHP框架,7.7k,PHP,07/22,
182,wangshub/Douyin-Bot,https://github.com/wangshub/Douyin-Bot,😍 Python 抖音机器人，论如何在抖音上找到漂亮小姐姐？ ,7.6k,Python,09/08,
183,dxcweb/high-speed-downloader,https://github.com/dxcweb/high-speed-downloader,已不再维护,7.6k,-,07/11,
184,chokcoco/CSS-Inspiration,https://github.com/chokcoco/CSS-Inspiration,CSS Inspiration，在这里找到写 CSS 的灵感！,7.4k,CSS,10/22,
185,injetlee/Python,https://github.com/injetlee/Python,Python脚本。模拟登录知乎， 爬虫，操作excel，微信公众号，远程开机,7.2k,Python,10/13,
186,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,7.2k,Java,09/13,
187,inferjay/AndroidDevTools,https://github.com/inferjay/AndroidDevTools,收集整理Android开发所需的Android SDK、开发中用到的工具、Android开发教程、Android设计规范，免费的设计素材等。,7.2k,-,08/04,
188,phodal/github,https://github.com/phodal/github,GitHub 漫游指南- a Chinese ebook on how to build a good project on Github. Explore the users' behavior. Find some thing interest.,6.9k,Rich Text Format,10/28,
189,ljianshu/Blog,https://github.com/ljianshu/Blog,关注基础知识，打造优质前端博客，公众号[前端工匠]的作者,6.8k,JavaScript,10/06,
190,amusi/CVPR2021-Papers-with-Code,https://github.com/amusi/CVPR2021-Papers-with-Code,CVPR 2021 论文和开源项目合集,6.8k,-,07/11,
191,ACL4SSR/ACL4SSR,https://github.com/ACL4SSR/ACL4SSR,SSR 去广告ACL规则/SS完整GFWList规则/Clash规则碎片，Telegram频道订阅地址,6.7k,-,10/23,
192,KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,是 难得一见 的 Jetpack MVVM 最佳实践！在 以简驭繁 的代码中，对 视图控制器 乃至 标准化开发模式 形成正确、深入的理解！,6.7k,Java,10/31,
193,goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,👕基于谷歌最新AAC架构，MVVM设计模式的一套快速开发库，整合Okhttp+RxJava+Retrofit+Glide等主流模块，满足日常开发需求。使用该框架可以快速开发一个高质量、易维护的Android应用。,6.7k,Java,10/25,
194,dromara/Sa-Token,https://github.com/dromara/Sa-Token,这可能是史上功能最全的Java权限认证框架！目前已集成——登录认证、权限认证、分布式Session会话、微服务网关鉴权、单点登录、OAuth2.0、踢人下线、Redis集成、前后台分离、记住我模式、模拟他人账号、临时身份切换、账号封禁、多账号认证体系、注解式鉴权、路由拦截式鉴权、花式token生成、自动续签、同端互斥登录、会话治理、密码加密、jwt集成、Spring集成、WebFlux集成...,6.7k,Java,10/30,
195,OpenFlutter/Flutter-Notebook,https://github.com/OpenFlutter/Flutter-Notebook,FlutterDemo合集，今天你fu了吗,6.7k,Dart,04/14,
196,JeffreySu/WeiXinMPSDK,https://github.com/JeffreySu/WeiXinMPSDK,微信全平台 SDK Senparc.Weixin for C#，支持 .NET Framework 及 .NET Core、.NET 6.0。已支持微信公众号、小程序、小游戏、企业号、企业微信、开放平台、微信支付、JSSDK、微信周边等全平台。 WeChat SDK for C#.,7.0k,C#,10/26,
197,Hackl0us/SS-Rule-Snippet,https://github.com/Hackl0us/SS-Rule-Snippet,搜集、整理、维护 Surge / Quantumult (X) / Shadowrocket / Surfboard / clash (Premium) 实用规则。,7.0k,JavaScript,10/25,
198,alibaba/otter,https://github.com/alibaba/otter,阿里巴巴分布式数据库同步系统(解决中美异地机房,6.9k,Java,10/05,
199,zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,基于SpringCloud2.1的微服务开发脚手架，整合了spring-security-oauth2、nacos、feign、sentinel、springcloud-gateway等。服务治理方面引入elasticsearch、skywalking、springboot-admin、zipkin等，让项目开发快速进入业务开发，而不需过多时间花费在架构搭建上。持续更新中,6.9k,Java,09/04,
200,luyishisi/Anti-Anti-Spider,https://github.com/luyishisi/Anti-Anti-Spider,越来越多的网站具有反爬虫特性，有的用图片隐藏关键数据，有的使用反人类的验证码，建立反反爬虫的代码仓库，通过与不同特性的网站做斗争（无恶意）提高技术。（欢迎提交难以采集的网站）（因工作原因，项目暂停） ,6.9k,Python,10/18,
201,wulabing/Xray_onekey,https://github.com/wulabing/Xray_onekey,Xray 基于 Nginx 的 VLESS + XTLS 一键安装脚本 ,6.8k,Shell,10/09,
202,panjf2000/ants,https://github.com/panjf2000/ants,🐜🐜🐜 ants is a high-performance and low-cost goroutine pool in Go、inspired by fasthttp./ ants 是一个高性能且低损耗的 goroutine 池。,6.8k,Go,10/23,
203,skyline75489/what-happens-when-zh_CN,https://github.com/skyline75489/what-happens-when-zh_CN,What-happens-when 的中文翻译，原仓库 https://github.com/alex/what-happens-when,6.6k,-,07/01,
204,ustbhuangyi/vue-analysis,https://github.com/ustbhuangyi/vue-analysis,:thumbsup: Vue.js 源码分析,6.5k,JavaScript,10/06,
205,taowen/awesome-lowcode,https://github.com/taowen/awesome-lowcode,国内低代码平台从业者交流,6.5k,-,11/01,
206,datawhalechina/leeml-notes,https://github.com/datawhalechina/leeml-notes,李宏毅《机器学习》笔记，在线阅读地址：https://datawhalechina.github.io/leeml-notes,6.5k,-,09/16,
207,ElemeFE/v-charts,https://github.com/ElemeFE/v-charts,基于 Vue2.0 和 ECharts 封装的图表组件📈📊,6.5k,JavaScript,04/06,
208,Exrick/xmall,https://github.com/Exrick/xmall,基于SOA架构的分布式电商购物商城 前后端分离 前台商城:Vue全家桶 后台管理系统:Dubbo/SSM/Elasticsearch/Redis/MySQL/ActiveMQ/Shiro/Zookeeper等,6.4k,Java,07/28,
209,Tencent/QMUI_iOS,https://github.com/Tencent/QMUI_iOS,QMUI iOS——致力于提高项目 UI 开发效率的解决方案,6.4k,Objective-C,09/01,
210,MorvanZhou/PyTorch-Tutorial,https://github.com/MorvanZhou/PyTorch-Tutorial,Build your neural network easy and fast、莫烦Python中文教学,6.4k,Jupyter Notebook,04/01,
211,wildfirechat/server,https://github.com/wildfirechat/server,即时通讯(IM)系统,6.3k,Java,10/26,
212,lenve/VBlog,https://github.com/lenve/VBlog,V部落，Vue+SpringBoot实现的多用户博客管理平台!,6.3k,Java,04/27,
213,Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,Android Signature V2 Scheme签名下的新一代渠道包打包神器,6.2k,Java,09/07,
214,smallnest/rpcx,https://github.com/smallnest/rpcx,Best microservices framework in Go、like alibaba Dubbo、but with more features、Scale easily. Try it. Test it. If you feel it's better、use it! 𝐉𝐚𝐯𝐚有𝐝𝐮𝐛𝐛𝐨、𝐆𝐨𝐥𝐚𝐧𝐠有𝐫𝐩𝐜𝐱!,6.2k,Go,10/31,
215,Sunnyyoung/WeChatTweak-macOS,https://github.com/Sunnyyoung/WeChatTweak-macOS,A dynamic library tweak for WeChat macOS - 首款微信 macOS 客户端撤回拦截与多开,6.2k,Objective-C,10/19,
216,wolverinn/Waking-Up,https://github.com/wolverinn/Waking-Up,计算机基础（计算机网络/操作系统/数据库/Git...）面试问题全面总结，包含详细的follow-up question以及答案；全部采用【问题+追问+答案】的形式，即拿即用，直击互联网大厂面试:rocket:；可用于模拟面试、面试前复习、短期内快速备战面试...,6.2k,-,09/24,
217,ymcui/Chinese-BERT-wwm,https://github.com/ymcui/Chinese-BERT-wwm,Pre-Training with Whole Word Masking for Chinese BERT（中文BERT-wwm系列模型）,6.1k,Python,10/23,
218,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB, 💎1MB lightweight face detection model  (1MB轻量级人脸检测模型,6.1k,Python,04/26,
219,nswbmw/node-in-debugging,https://github.com/nswbmw/node-in-debugging,《Node.js 调试指南》,6.1k,-,09/03,
220,Mikoto10032/DeepLearning,https://github.com/Mikoto10032/DeepLearning,深度学习入门教程、优秀文章、Deep Learning Tutorial,6.1k,Jupyter Notebook,10/21,
221,shidenggui/easytrader,https://github.com/shidenggui/easytrader,提供同花顺客户端/国金/华泰客户端/雪球的基金、股票自动程序化交易以及自动打新，支持跟踪 joinquant /ricequant 模拟交易 和 实盘雪球组合、量化交易组件,6.1k,Python,07/17,
222,NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词、人名识别、词性标注、用户自定义词典,6.0k,Java,08/15,
223,Ewenwan/MVision,https://github.com/Ewenwan/MVision,机器人视觉 移动机器人 VS-SLAM ORB-SLAM2 深度学习目标检测 yolov3 行为检测 opencv  PCL 机器学习 无人驾驶,6.0k,C++,07/29,
224,nonstriater/Learn-Algorithms,https://github.com/nonstriater/Learn-Algorithms,算法学习笔记,6.0k,C,10/28,
225,QUANTAXIS/QUANTAXIS,https://github.com/QUANTAXIS/QUANTAXIS,QUANTAXIS 支持任务调度 分布式部署的 股票/期货/期权/港股/虚拟货币  数据/回测/模拟/交易/可视化/多账户 纯本地量化解决方案,6.0k,Python,10/21,
226,li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,🔥XPopup2.0版本重磅来袭，2倍以上性能提升，带来可观的动画性能优化和交互细节的提升！！！功能强大，交互优雅，动画丝滑的通用弹窗！可以替代Dialog，PopupWindow，PopupMenu，BottomSheet，DrawerLayout，Spinner等组件，自带十几种效果良好的动画， 支持完全的UI和动画自定义！(Powerful and Beautiful Popup for Android，can absolutely replace Dialog，PopupWindow，PopupMenu，BottomSheet，DrawerLayout，Spinner. With bu ...,6.0k,Java,10/27,
227,wowchemy/wowchemy-hugo-themes,https://github.com/wowchemy/wowchemy-hugo-themes,🔥 Hugo website builder、Hugo themes & Hugo CMS. No code、build with widgets! 创建在线课程，学术简历或初创网站。,6.0k,HTML,10/31,
228,zouzg/mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,mybatis-generator界面工具，让你生成代码更简单更快捷,6.0k,Java,07/05,
229,chaitin/xray,https://github.com/chaitin/xray,一款完善的安全评估工具，支持常见 web 安全问题扫描和自定义 poc   使用之前务必先阅读文档,6.0k,Vue,10/30,
230,hotoo/pinyin,https://github.com/hotoo/pinyin,:cn: 汉字拼音 ➜ hàn zì pīn yīn,6.0k,JavaScript,10/21,
231,Loyalsoldier/v2ray-rules-dat,https://github.com/Loyalsoldier/v2ray-rules-dat,🦄 🎃 👻 V2Ray 路由规则文件加强版，可代替 V2Ray 官方 geoip.dat 和 geosite.dat，兼容 Shadowsocks-windows、Xray-core、Trojan-Go 和 leaf。Enhanced edition of V2Ray rules dat files、compatible with Xray-core、Shadowsocks-windows、Trojan-Go and leaf.,6.0k,-,11/01,
232,kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,spring-boot打造文件文档在线预览项目,6.0k,Java,10/11,
233,xianhu/LearnPython,https://github.com/xianhu/LearnPython,以撸代码的形式学习Python,6.0k,Jupyter Notebook,09/26,
234,yezihaohao/react-admin,https://github.com/yezihaohao/react-admin,:sparkles: react-admin system solution : react 后台管理系统解决方案,5.9k,TypeScript,09/10,
235,eastlakeside/interpy-zh,https://github.com/eastlakeside/interpy-zh,📘《Python进阶》（Intermediate Python 中文版）,5.9k,CSS,08/22,
236,kangvcar/InfoSpider,https://github.com/kangvcar/InfoSpider,INFO-SPIDER 是一个集众多数据源于一身的爬虫工具箱🧰，旨在安全快捷的帮助用户拿回自己的数据，工具代码开源，流程透明。支持数据源包括GitHub、QQ邮箱、网易邮箱、阿里邮箱、新浪邮箱、Hotmail邮箱、Outlook邮箱、京东、淘宝、支付宝、中国移动、中国联通、中国电信、知乎、哔哩哔哩、网易云音乐、QQ好友、QQ群、生成朋友圈相册、浏览器浏览历史、12306、博客园、CSDN博客、开源中国博客、简书。,5.9k,Python,09/08,
237,fengdu78/Data-Science-Notes,https://github.com/fengdu78/Data-Science-Notes,数据科学的笔记以及资料搜集,5.9k,Jupyter Notebook,08/16,
238,SecWiki/windows-kernel-exploits,https://github.com/SecWiki/windows-kernel-exploits,windows-kernel-exploits   Windows平台提权漏洞集合,5.8k,C,06/12,
239,selierlin/Share-SSR-V2ray,https://github.com/selierlin/Share-SSR-V2ray,🃏 Free SS/SSR/V2ray 免费分享节点账号信息网站,5.8k,-,10/29,
240,ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,Spring Cloud 学习案例，服务发现、服务治理、链路追踪、服务监控等,5.8k,Java,08/21,
241,metersphere/metersphere,https://github.com/metersphere/metersphere,MeterSphere is an End-to-End open source continuous testing platform. MeterSphere 是一站式开源持续测试平台，涵盖测试跟踪、接口测试、性能测试、团队协作等功能，全面兼容 JMeter、Postman、Swagger 等开源、主流标准。,5.8k,Java,10/29,
242,guodongxiaren/README,https://github.com/guodongxiaren/README,README文件语法解读，即Github Flavored Markdown语法介绍,5.8k,-,10/16,
243,Tencent/Shadow,https://github.com/Tencent/Shadow,零反射全动态Android插件框架,5.7k,Java,10/29,
244,HcySunYang/vue-design,https://github.com/HcySunYang/vue-design,📖 master分支：《渲染器》,5.7k,JavaScript,10/11,
245,sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,Nokogiri (鋸) makes it easy and painless to work with XML and HTML from Ruby.,5.7k,C,10/29,
246,wangzhiwubigdata/God-Of-BigData,https://github.com/wangzhiwubigdata/God-Of-BigData,专注大数据学习面试，大数据成神之路开启。Flink/Spark/Hadoop/Hbase/Hive...,5.7k,-,10/29,
247,sohutv/cachecloud,https://github.com/sohutv/cachecloud,搜狐视频(sohu tv)Redis私有云平台,5.7k,Java,06/08,
248,jobbole/awesome-cpp-cn,https://github.com/jobbole/awesome-cpp-cn,C++ 资源大全中文版，标准库、Web应用框架、人工智能、数据库、图片处理、机器学习、日志、代码分析等。由「开源前哨」和「CPP开发者」微信公号团队维护更新。,5.7k,-,10/15,
249,senghoo/golang-design-pattern,https://github.com/senghoo/golang-design-pattern,设计模式 Golang实现－《研磨设计模式》读书笔记,5.6k,Go,05/12,
250,liyifeng1994/ssm,https://github.com/liyifeng1994/ssm,手把手教你整合最优雅SSM框架：SpringMVC + Spring + MyBatis,5.5k,Java,07/15,
251,yangchong211/YCBlogs,https://github.com/yangchong211/YCBlogs,技术博客笔记大汇总【15年10月到至今】，包括Java基础及深入知识点，Android技术博客，Python，Go学习笔记等等，还包括平时开发中遇到的bug汇总，当然也在工作之余收集了大量的面试题，长期更新维护并且修正，持续完善……开源的文件是markdown格式的！同时也开源了生活博客，从12年起，积累共计N篇[近100万字]，转载请注明出处，谢谢！,5.5k,-,08/23,
252,me115/design_patterns,https://github.com/me115/design_patterns,图说设计模式,5.5k,C++,08/10,
253,pujiaxin33/JXCategoryView,https://github.com/pujiaxin33/JXCategoryView,A powerful and easy to use category view (segmentedcontrol、segmentview、pagingview、pagerview、pagecontrol) (腾讯新闻、今日头条、QQ音乐、网易云音乐、京东、爱奇艺、腾讯视频、淘宝、天猫、简书、微博等所有主流APP分类切换滚动视图,5.5k,Objective-C,10/25,
254,knightliao/disconf,https://github.com/knightliao/disconf,Distributed Configuration Management Platform(分布式配置管理平台,5.5k,Java,09/28,
255,jpush/aurora-imui,https://github.com/jpush/aurora-imui,General IM UI components. Android/iOS/RectNative ready.  通用 IM 聊天 UI 组件，已经同时支持 Android/iOS/RN。,5.5k,Java,09/21,
256,wxiaoqi/Spring-Cloud-Platform,https://github.com/wxiaoqi/Spring-Cloud-Platform,🔥🔥🔥国内首个Spring Cloud微服务化RBAC的管理平台，核心采用Spring Boot 2.4、Spring Cloud 2020.0.0 & Alibaba，前端采用d2-admin中台框架。 🔝 🔝 记得上边点个star 关注更新,5.5k,Java,09/08,
257,simplezhli/flutter_deer,https://github.com/simplezhli/flutter_deer,🦌 Flutter 练习项目(包括集成测试、可访问性测试)。内含完整UI设计图，更贴近真实项目的练习。Flutter practice project. Includes a complete UI design and exercises that are closer to real projects.,5.4k,Dart,10/29,
258,shengcaishizhan/kkndme_tianya,https://github.com/shengcaishizhan/kkndme_tianya,天涯 kkndme 神贴聊房价,5.3k,-,10/25,
259,jobbole/awesome-c-cn,https://github.com/jobbole/awesome-c-cn,C 资源大全中文版，包括了：构建系统、编译器、数据库、加密、初中高的教程/指南、书籍、库等。,5.3k,-,08/05,
260,mindoc-org/mindoc,https://github.com/mindoc-org/mindoc,Golang实现的基于beego框架的接口在线文档管理系统,5.3k,Go,10/15,
261,Jrohy/multi-v2ray,https://github.com/Jrohy/multi-v2ray,v2ray/xray多用户管理部署程序,5.3k,Python,10/15,
262,changmingxie/tcc-transaction,https://github.com/changmingxie/tcc-transaction,tcc-transaction是TCC型事务java实现,5.3k,Java,09/29,
263,OpenAtomFoundation/TencentOS-tiny,https://github.com/OpenAtomFoundation/TencentOS-tiny,腾讯物联网终端操作系统,5.2k,C,09/29,
264,527515025/springBoot,https://github.com/527515025/springBoot,springboot 框架与其它组件结合如 jpa、mybatis、websocket、security、shiro、cache等,5.2k,Java,06/05,
265,liuwons/wxBot,https://github.com/liuwons/wxBot,Python网页微信API,5.3k,Python,04/07,
