id,Repository,Address,Description,Stars,Language,Updated,other
29,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,该项目已成功集成 actuator(监控)、admin(可视化监控)、logback(日志)、aopLog(通过AOP记录web请求日志)、统一异常处理(json级别和页面级别)、freemarker(模板引擎)、thymeleaf(模板引擎)、Beetl(模板引擎)、Enjoy(模板引擎)、JdbcTemplate(通用JDBC操作数据库)、JPA(强大的ORM框架)、mybatis(强大的ORM框架)、通用Mapper(快速操作Mybatis)、PageHelper(通用的Mybatis分页插件)、mybatis-plus(快速操作Mybatis)、BeetlSQL(强大的ORM框架)、u ...,23.8k,Java,10/27,
30,halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,✅ Solutions to LeetCode by Go、100% test coverage、runtime beats 100% / LeetCode 题解,21.0k,Go,10/31,
31,huihut/interview,https://github.com/huihut/interview,📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology、including language、program library、data structure、algorithm、system、 network、link loading library、 in ...,21.0k,C++,10/06,
32,alibaba/canal,https://github.com/alibaba/canal,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,21.0k,Java,10/28,
33,googlehosts/hosts,https://github.com/googlehosts/hosts,镜像：https://scaffrey.coding.net/p/hosts/git / https://git.qvq.network/googlehosts/hosts,20.8k,-,06/20,
34,komeiji-satori/Dress,https://github.com/komeiji-satori/Dress,好耶  是女装,20.3k,Standard ML,10/28,
35,julycoding/The-Art-Of-Programming-By-July,https://github.com/julycoding/The-Art-Of-Programming-By-July,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售,20.1k,C,07/03,
36,halo-dev/halo,https://github.com/halo-dev/halo,✍ 一款优秀的开源博客发布应用。,20.1k,Java,11/01,
37,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,19.8k,Java,10/29,
38,zhaoolee/ChromeAppHeroes,https://github.com/zhaoolee/ChromeAppHeroes,🌈谷粒-Chrome插件英雄榜、为优秀的Chrome插件写一本中文说明书、 让Chrome插件英雄们造福人类~  ChromePluginHeroes、Write a Chinese manual for the excellent Chrome plugin、let the Chrome plugin heroes benefit the human~ 公众号「0加1」同步更新,18.9k,JavaScript,10/03,
39,ehang-io/nps,https://github.com/ehang-io/nps,一款轻量级、高性能、功能强大的内网穿透代理服务器。支持tcp、udp、socks5、http等几乎所有流量转发，可用来访问内网网站、本地支付接口调试、ssh访问、远程桌面，内网dns解析、内网socks5代理等等……，并带有功能强大的web管理端。a lightweight、 high-performance、 powerful intranet penetration proxy server、 with a powerful web management terminal.,18.9k,Go,10/15,
40,Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,基于 Vue.js 的小程序开发框架，从底层支持 Vue.js 语法和构建工具体系。,20.4k,JavaScript,08/11,
41,SwiftGGTeam/the-swift-programming-language-in-chinese,https://github.com/SwiftGGTeam/the-swift-programming-language-in-chinese,中文版 Apple 官方 Swift 教程《The Swift Programming Language》,20.3k,CSS,10/25,
42,wangzheng0822/algo,https://github.com/wangzheng0822/algo,数据结构和算法必知必会的50个代码实现,19.8k,Python,05/28,
43,ruanyf/es6tutorial,https://github.com/ruanyf/es6tutorial,《ECMAScript 6入门》是一本开源的 JavaScript 语言教程，全面介绍 ECMAScript 6 新增的语法特性。,19.6k,JavaScript,10/31,
44,haizlin/fe-interview,https://github.com/haizlin/fe-interview,前端面试每日 3+1，以面试题来驱动学习，提倡每日学习与思考，每天进步一点！每天早上5点纯手工发布面试题（死磕自己，愉悦大家），5000+道前端面试题全面覆盖，HTML/CSS/JavaScript/Vue/React/Nodejs/TypeScript/ECMAScritpt/Webpack/Jquery/小程序/软技能……,19.2k,JavaScript,10/29,
45,MustangYM/WeChatExtension-ForMac,https://github.com/MustangYM/WeChatExtension-ForMac,Mac微信功能拓展/微信插件/微信小助手(A plugin for Mac WeChat,18.9k,Objective-C,08/12,
46,didi/DoraemonKit,https://github.com/didi/DoraemonKit,一款面向泛前端产品研发全生命周期的效率平台。,18.1k,Java,10/28,
47,ryanhanwu/How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,17.9k,JavaScript,10/13,
48,qianguyihao/Web,https://github.com/qianguyihao/Web,千古前端图文教程，超详细的前端入门到进阶学习笔记。从零开始学前端，做一名精致优雅的前端工程师。公众号「千古壹号」作者。,17.9k,JavaScript,10/31,
49,alibaba/Sentinel,https://github.com/alibaba/Sentinel,A powerful flow control component enabling reliability、 resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件,17.7k,Java,10/31,
50,jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,JumpServer 是全球首款开源的堡垒机，是符合 4A 的专业运维安全审计系统。,17.3k,Python,10/29,
51,1c7/chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,👩🏿‍💻👨🏾‍💻👩🏼‍💻👨🏽‍💻👩🏻‍💻中国独立开发者项目列表 -- 分享大家都在做什么,17.2k,-,10/28,
52,jaywcjlove/linux-command,https://github.com/jaywcjlove/linux-command,Linux命令大全搜索工具，内容包含Linux命令手册、详解、学习、搜集。https://git.io/linux,17.0k,Markdown,10/30,
53,PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,16.8k,Python,11/01,
54,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90、270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 ,16.8k,Java,10/15,
55,MLEveryday/100-Days-Of-ML-Code,https://github.com/MLEveryday/100-Days-Of-ML-Code,100-Days-Of-ML-Code中文版,16.7k,Jupyter Notebook,08/11,
56,alibaba/ice,https://github.com/alibaba/ice,🚀 The Progressive Framework Based On React（基于 React 的渐进式研发框架），站点国内镜像：https://iceteam.gitee.io,16.7k,TypeScript,10/30,
57,vnpy/vnpy,https://github.com/vnpy/vnpy,基于Python的开源量化交易平台开发框架,16.6k,C++,10/29,
58,wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,文言文編程語言 A programming language for the ancient Chinese.,17.7k,TypeScript,10/25,
59,youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀 ,17.7k,-,11/01,
60,elunez/eladmin,https://github.com/elunez/eladmin,项目基于 Spring Boot 2.1.0 、 Jpa、 Spring Security、redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,16.6k,Java,10/14,
61,LingCoder/OnJava8,https://github.com/LingCoder/OnJava8,《On Java 8》中文版 ,16.5k,-,09/25,
62,shimohq/chinese-programmer-wrong-pronunciation,https://github.com/shimohq/chinese-programmer-wrong-pronunciation,中国程序员容易发音错误的单词,14.6k,Python,07/29,
63,zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,14.2k,C++,10/28,
64,jobbole/awesome-java-cn,https://github.com/jobbole/awesome-java-cn,Java资源大全中文版，包括开发库、开发工具、网站、博客、微信、微博等，由伯乐在线持续更新。,14.2k,-,10/15,
65,lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,一个基于 electron 的音乐软件,14.0k,JavaScript,10/29,
66,Jack-Cherish/python-spider,https://github.com/Jack-Cherish/python-spider,:rainbow:Python3网络爬虫实战：淘宝、京东、网易云、B站、12306、抖音、笔趣阁、漫画小说下载、音乐电影下载等,13.9k,Python,10/15,
67,lin-xin/vue-manage-system,https://github.com/lin-xin/vue-manage-system,基于Vue3 + Element Plus 的后台管理系统解决方案,13.9k,Vue,09/22,
68,ShusenTang/Dive-into-DL-PyTorch,https://github.com/ShusenTang/Dive-into-DL-PyTorch,本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。,13.9k,Jupyter Notebook,10/14,
69,wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,微信《跳一跳》Python 辅助,13.9k,Python,10/13,
70,fengdu78/deeplearning_ai_books,https://github.com/fengdu78/deeplearning_ai_books,deeplearning.ai（吴恩达老师的深度学习课程笔记及资源）,13.8k,HTML,10/23,
71,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,《Spring Boot基础教程》，2.x版本持续连载中！点击下方链接直达教程目录！,13.7k,Java,10/29,
72,jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,Python爬虫代理IP池(proxy pool,13.5k,Python,10/27,
73,alibaba/ARouter,https://github.com/alibaba/ARouter,💪 A framework for assisting in the renovation of Android componentization (帮助 Android App 进行组件化改造的路由框架,13.5k,Java,09/13,
74,ZhongFuCheng3y/3y,https://github.com/ZhongFuCheng3y/3y,:notebook:从Java基础、JavaWeb基础到常用的框架再到面试题都有完整的教程，几乎涵盖了Java后端必备的知识点,15.5k,-,07/22,
75,youzan/vant-weapp,https://github.com/youzan/vant-weapp,轻量、可靠的小程序 UI 组件库,15.3k,JavaScript,10/30,
76,EastWorld/wechat-app-mall,https://github.com/EastWorld/wechat-app-mall,微信小程序商城，微信小程序微店,15.2k,JavaScript,10/24,
77,freefq/free,https://github.com/freefq/free,翻墙、免费翻墙、免费科学上网、免费节点、免费梯子、免费ss/v2ray/trojan节点、蓝灯、谷歌商店、翻墙梯子,15.1k,-,11/01,
78,nndl/nndl.github.io,https://github.com/nndl/nndl.github.io,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning ,14.9k,HTML,05/18,
79,fengdu78/lihang-code,https://github.com/fengdu78/lihang-code,《统计学习方法》的代码实现,14.7k,Jupyter Notebook,05/31,
